PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,FamilySize,IsAlone,AgeGroup
1,0,3,male,22.0,1,0,S,2,0,Young
2,1,1,female,38.0,1,0,C,2,0,Adult
3,1,3,female,26.0,0,0,S,1,1,Adult
4,1,1,female,35.0,1,0,S,2,0,Adult
5,0,3,male,35.0,0,0,S,1,1,Adult
6,0,3,male,28.0,0,0,Q,1,1,Adult
7,0,1,male,54.0,0,0,S,1,1,Adult
8,0,3,male,2.0,3,1,S,5,0,Child
9,1,3,female,27.0,0,2,S,3,0,Adult
10,1,2,female,14.0,1,0,C,2,0,Child
11,1,3,female,4.0,1,1,S,3,0,Child
12,1,1,female,58.0,0,0,S,1,1,Adult
13,0,3,male,20.0,0,0,S,1,1,Young
14,0,3,male,39.0,1,5,S,7,0,Adult
15,0,3,female,14.0,0,0,S,1,1,Child
16,1,2,female,55.0,0,0,S,1,1,Adult
17,0,3,male,2.0,4,1,Q,6,0,Child
18,1,2,male,28.0,0,0,S,1,1,Adult
19,0,3,female,31.0,1,0,S,2,0,Adult
20,1,3,female,28.0,0,0,C,1,1,Adult
21,0,2,male,35.0,0,0,S,1,1,Adult
22,1,2,male,34.0,0,0,S,1,1,Adult
23,1,3,female,15.0,0,0,Q,1,1,Young
24,1,1,male,28.0,0,0,S,1,1,Adult
25,0,3,female,8.0,3,1,S,5,0,Child
26,1,3,female,38.0,1,5,S,7,0,Adult
27,0,3,male,28.0,0,0,C,1,1,Adult
28,0,1,male,19.0,3,2,S,6,0,Young
29,1,3,female,28.0,0,0,Q,1,1,Adult
30,0,3,male,28.0,0,0,S,1,1,Adult
31,0,1,male,40.0,0,0,C,1,1,Adult
32,1,1,female,28.0,1,0,C,2,0,Adult
33,1,3,female,28.0,0,0,Q,1,1,Adult
34,0,2,male,66.0,0,0,S,1,1,Senior
35,0,1,male,28.0,1,0,C,2,0,Adult
36,0,1,male,42.0,1,0,S,2,0,Adult
37,1,3,male,28.0,0,0,C,1,1,Adult
38,0,3,male,21.0,0,0,S,1,1,Young
39,0,3,female,18.0,2,0,S,3,0,Young
40,1,3,female,14.0,1,0,C,2,0,Child
41,0,3,female,40.0,1,0,S,2,0,Adult
42,0,2,female,27.0,1,0,S,2,0,Adult
43,0,3,male,28.0,0,0,C,1,1,Adult
44,1,2,female,3.0,1,2,C,4,0,Child
45,1,3,female,19.0,0,0,Q,1,1,Young
46,0,3,male,28.0,0,0,S,1,1,Adult
47,0,3,male,28.0,1,0,Q,2,0,Adult
48,1,3,female,28.0,0,0,Q,1,1,Adult
49,0,3,male,28.0,2,0,C,3,0,Adult
50,0,3,female,18.0,1,0,S,2,0,Young
51,0,3,male,7.0,4,1,S,6,0,Child
52,0,3,male,21.0,0,0,S,1,1,Young
53,1,1,female,49.0,1,0,C,2,0,Adult
54,1,2,female,29.0,1,0,S,2,0,Adult
55,0,1,male,65.0,0,1,C,2,0,Senior
56,1,1,male,28.0,0,0,S,1,1,Adult
57,1,2,female,21.0,0,0,S,1,1,Young
58,0,3,male,28.5,0,0,C,1,1,Adult
59,1,2,female,5.0,1,2,S,4,0,Child
60,0,3,male,11.0,5,2,S,8,0,Child
61,0,3,male,22.0,0,0,C,1,1,Young
62,1,1,female,38.0,0,0,S,1,1,Adult
63,0,1,male,45.0,1,0,S,2,0,Adult
64,0,3,male,4.0,3,2,S,6,0,Child
65,0,1,male,28.0,0,0,C,1,1,Adult
66,1,3,male,28.0,1,1,C,3,0,Adult
67,1,2,female,29.0,0,0,S,1,1,Adult
68,0,3,male,19.0,0,0,S,1,1,Young
69,1,3,female,17.0,4,2,S,7,0,Young
70,0,3,male,26.0,2,0,S,3,0,Adult
71,0,2,male,32.0,0,0,S,1,1,Adult
72,0,3,female,16.0,5,2,S,8,0,Young
73,0,2,male,21.0,0,0,S,1,1,Young
74,0,3,male,26.0,1,0,C,2,0,Adult
75,1,3,male,32.0,0,0,S,1,1,Adult
76,0,3,male,25.0,0,0,S,1,1,Adult
77,0,3,male,28.0,0,0,S,1,1,Adult
78,0,3,male,28.0,0,0,S,1,1,Adult
79,1,2,male,0.83,0,2,S,3,0,Child
80,1,3,female,30.0,0,0,S,1,1,Adult
81,0,3,male,22.0,0,0,S,1,1,Young
82,1,3,male,29.0,0,0,S,1,1,Adult
83,1,3,female,28.0,0,0,Q,1,1,Adult
84,0,1,male,28.0,0,0,S,1,1,Adult
85,1,2,female,17.0,0,0,S,1,1,Young
86,1,3,female,33.0,3,0,S,4,0,Adult
